"id","otel_ad","fiyat","imageurl","score","fiyat_araligi","bolge","hava_alanina_uzakligi","denize_uzakligi","plaj","iskele","a_la_carte_restoran","asansor","acik_restoran","kapali_restoran","acik_havuz","kapali_havuz","bedensel_engelli_odasi","bar","su_kaydiragi","balo_salonu","kuafor","otopark","market","sauna","doktor","beach_voley","fitness","canli_eglence","wireless_internet","animasyon","sorf","parasut","arac_kiralama","kano","spa","masaj","masa_tenisi","cocuk_havuzu","cocuk_parki"
887,Morino Alaçatı,"38.400,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13147/1050X700/tsr13147638205308332705927.jpg,"",+33000,Çeşme - Alaçatı ,"67 km, Adnan Menderes ",No Info,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,Mira Su Hotel,"4.866,48 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12873/1050X700/tsr12873638188192173189437.jpg,"7",+33000,Antalya - Kemer-Çamyuva ,"64 km, Antalya ","300 - 400 Metre Arası",Halk Plajı,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Sirius Deluxe Hotel,"20.160,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/04850/1050X700/tsr04850637593695536350269.jpg,"8,5","19000-21000",Antalya - Alanya ,"110 km, Antalya ",Denize Sıfır,Özel Plaj,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0
742,Payava Hotel By True Blue,"23.400,43 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12217/1050X700/tsr12217637910709985258841.jpg,"","23000-25000",Antalya - Kalkan ,"123 km, Dalaman ","200 - 300 Metre Arası","0",0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
443,Meryem Ana,"28.800,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/03475/1050X700/tsr03475638439303660008461.jpg,"8,2","27000-29000",Didim - Altınkum ,"75 km, Milas HA ",No Info,Halk Plajı,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1
886,More Hotel,"6.238,06 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/02789/1050X700/tsr02789638205357763346106.jpg,"7,1","5000-7000",Antalya - Kemer-Beldibi ,"35 km, Antalya HA ","50 - 100 Metre Arası",Halk Plajı,0,0,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
888,My Dream Alaçatı,"18.000,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/11199/1050X700/tsr11199637310388997356144.jpg,"","17000-19000",Çeşme - Alaçatı ,"68 km, Adnan Menderes HA ",No Info,Halk Plajı,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
241,White City Resort Spa,"18.647,57 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/03642/1050X700/tsr03642637545378287900369.jpg,"7,2","17000-19000",Antalya - Alanya-Türkler ,"110 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,1,3,1,1,1,3,1,1,5,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
446,Mustis Royal Plaza Hotel,"12.000,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13279/1050X700/tsr13279638500104886078115.jpg,"","11000-13000",Marmaris - Armutalan ,"90 km, Dalaman ",Uygun Değil,"0",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
11,Belconti Resort Hotel,"21.234,20 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/00279/1050X700/tsr00279638097400011801151.jpg,"7,6","21000-23000",Antalya - Belek-İskele ,"30 km, Antalya HA ",Denize Sıfır,Özel Plaj,0,3,1,2,4,2,1,1,7,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
36,Kirman Sidemarin Beach Spa,"26.392,50 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/08061/1050X700/tsr08061638489420375103844.jpg,"8,8","25000-27000",Antalya - Side ,"60 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,1,4,1,1,1,1,1,0,8,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1
748,Route Hotel Adult Only +12,"12.513,60 TL",,"","11000-13000","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
